No,User Query,Recommendations,Similarity Explanations,Score: Recommendation Relevance (1-5),Score: Conversational Fluency (1-5),Score: Explainability (1-5)
11,phim tương tự phim Smart Guy,"The Tao of Steve, The Half of It, Everything's Going to Be Great","The Tao of Steve: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | The Half of It: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | Everything's Going to Be Great: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất.",,,
12,phim tương tự phim The Mysterious Benedict Society,"Doctor Strange in the Multiverse of Madness, Assassin's Creed, The American Society of Magical Negroes","Doctor Strange in the Multiverse of Madness: Phim cùng đạo diễn, quốc gia sản xuất. | Assassin's Creed: Phim cùng đạo diễn, quốc gia sản xuất. | The American Society of Magical Negroes: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất.",,,
13,phim tương tự phim House of Gucci,"The Clan, Meetings with Remarkable Men, Cargo 200","The Clan: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn. | Meetings with Remarkable Men: Phim cùng đạo diễn, quốc gia sản xuất. | Cargo 200: Phim diễn viên tương đồng, cùng đạo diễn.",,,
14,phim tương tự phim What Will People Say,"After the Rain, Like Father, Like Son, The Scapegoat","After the Rain: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn. | Like Father, Like Son: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn. | The Scapegoat: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất.",,,
15,phim tương tự phim A Bucket of Blood,"Malatesta's Carnival of Blood, Blood Diner, Blood of Dracula","Malatesta's Carnival of Blood: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | Blood Diner: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | Blood of Dracula: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất.",,,
16,phim tương tự phim Daughters of Darkness,"Daughters of Satan, Devils of Darkness, One Dark Night","Daughters of Satan: Phim cùng thể loại, cùng đạo diễn. | Devils of Darkness: Phim cùng thể loại, cùng đạo diễn. | One Dark Night: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn.",,,
17,phim tương tự phim Strange Brew,"Street Trash, Kin-dza-dza!, The Why Files","Street Trash: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | Kin-dza-dza!: Phim diễn viên tương đồng, cùng đạo diễn. | The Why Files: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất.",,,
18,phim tương tự phim The Family Plan 2,"The Family Plan, Family Plan, Daddy's Home 2","The Family Plan: Phim diễn viên tương đồng, cùng đạo diễn, nội dung/chủ đề tương đồng, quốc gia sản xuất. | Family Plan: Phim cùng đạo diễn, quốc gia sản xuất. | Daddy's Home 2: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất.",,,
19,phim tương tự phim Very Bad Things,"Watch Out for the Automobile, Wild Things 2, Vasco Da Gama","Watch Out for the Automobile: Phim diễn viên tương đồng, cùng đạo diễn. | Wild Things 2: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | Vasco Da Gama: Phim diễn viên tương đồng, cùng đạo diễn.",,,
20,phim tương tự phim Edge of Seventeen,"Looking for Alibrandi, Bridget Jones: The Edge of Reason, Crossroads","Looking for Alibrandi: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn, nội dung/chủ đề tương đồng. | Bridget Jones: The Edge of Reason: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn, nội dung/chủ đề tương đồng, quốc gia sản xuất. | Crossroads: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn, nội dung/chủ đề tương đồng, quốc gia sản xuất.",,,
21,phim tương tự phim A Walk in the Woods,"Into the Woods, The Walk, The Kings of Summer","Into the Woods: Phim cùng thể loại, cùng đạo diễn, quốc gia sản xuất. | The Walk: Phim cùng thể loại, cùng đạo diễn, quốc gia sản xuất. | The Kings of Summer: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất.",,,
22,phim tương tự phim The Science of Sleep,"Cemetery of Splendor, Queen of the Damned, No Sleep 'Til Christmas","Cemetery of Splendor: Phim diễn viên tương đồng, cùng đạo diễn. | Queen of the Damned: Phim diễn viên tương đồng, cùng đạo diễn. | No Sleep 'Til Christmas: Phim diễn viên tương đồng, cùng đạo diễn.",,,
23,phim tương tự phim Miller's Crossing,"The Cassandra Crossing, Sin City, Wasteland","The Cassandra Crossing: Phim cùng đạo diễn, quốc gia sản xuất. | Sin City: Phim quốc gia sản xuất. | Wasteland: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn.",,,
24,phim tương tự phim Afraid,"Tigers Are Not Afraid, Eye of the Cat, Cargo","Tigers Are Not Afraid: Phim diễn viên tương đồng, cùng đạo diễn. | Eye of the Cat: Phim cùng đạo diễn, quốc gia sản xuất. | Cargo: Phim cùng đạo diễn, quốc gia sản xuất.",,,
25,phim tương tự phim Yossi & Jagger,"Yossi, Bent, Marriage is a Crazy Thing","Yossi: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | Bent: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn. | Marriage is a Crazy Thing: Phim diễn viên tương đồng, cùng đạo diễn.",,,
